[INFO] [2024-11-07 12:19:27,637] Ejecutando archivo lorenz_system - 0
[INFO] [2024-11-07 12:19:27,637] ----------------------------------------------
[INFO] [2024-11-07 12:19:27,637] ----------------------------------------------
[INFO] [2024-11-07 12:19:27,637] Ejecutando ftle_variational_equations
[INFO] [2024-11-07 12:19:27,637] -- Cargando parámetros.
[INFO] [2024-11-07 12:19:27,638] -- Parámetros del proceso:
[INFO] [2024-11-07 12:19:27,638] 	 T=10
[INFO] [2024-11-07 12:19:27,638] 	 Número de puntos =2500
[INFO] [2024-11-07 12:19:27,638] 	 Solver usado = solve_ivp
[INFO] [2024-11-07 12:19:27,638] 	 Límite inferior de la malla = [0, 0, 0]
[INFO] [2024-11-07 12:19:27,638] 	 Límite superior de la malla = [0.01, 1.0, 1.0]
[INFO] [2024-11-07 12:19:27,638] 	 Número máximo de hilos = 1
[INFO] [2024-11-07 12:19:27,638] 	 - Creando el sistema lorenz_system
[INFO] [2024-11-07 12:19:27,638] -- Ejecutando el cálculo de malla con ecuaciones variacionales.
[INFO] [2024-11-07 12:21:10,440] - Campo FTLE guardado en plots/lorenz_system_ftle_variational_equations_t_10_nx_grid_2500.png.
[INFO] [2024-11-07 12:21:10,440] - Fin del proceso de ftle_variational_equations
[INFO] [2024-11-07 12:21:10,440] ----------------------------------------------
[INFO] [2024-11-07 12:21:10,440] Ejecutando lagrangian_descriptors
[INFO] [2024-11-07 12:21:10,440] -- Cargando parámetros.
[INFO] [2024-11-07 12:21:10,440] -- Parámetros del proceso:
[INFO] [2024-11-07 12:21:10,440] 	 T=10
[INFO] [2024-11-07 12:21:10,440] 	 Número de puntos =2500
[INFO] [2024-11-07 12:21:10,440] 	 - Intervalo Tau usado = 3
[INFO] [2024-11-07 12:21:10,440] 	 - Método de integración usado = None
[INFO] [2024-11-07 12:21:10,440] 	 Solver usado = solve_ivp
[INFO] [2024-11-07 12:21:10,440] 	 Límite inferior de la malla = [0, 0, 0]
[INFO] [2024-11-07 12:21:10,440] 	 Límite superior de la malla = [0.01, 1.0, 1.0]
[INFO] [2024-11-07 12:21:10,441] 	 Número máximo de hilos = 1
[INFO] [2024-11-07 12:21:10,441] 	 - Creando el sistema lorenz_system
[INFO] [2024-11-07 12:21:10,441] -- Ejecutando el cálculo de malla.
[INFO] [2024-11-07 12:23:50,558] - Campo Lagrangian Descriptor guardado en plots/lorenz_system_lagrangian_descriptors_integrate_t_10_nx_grid_2500.png.
[INFO] [2024-11-07 12:23:50,558] - Fin del proceso de lagrangian_descriptors
[INFO] [2024-11-07 12:23:50,558] ----------------------------------------------
[INFO] [2024-11-07 12:23:50,558] Ejecutando poincare_section
[INFO] [2024-11-07 12:23:50,558] -- Cargando parámetros.
[INFO] [2024-11-07 12:23:50,561] -- Parámetros del proceso:
[INFO] [2024-11-07 12:23:50,561] 	 T=10
[INFO] [2024-11-07 12:23:50,561] 	 Número de puntos =100
[INFO] [2024-11-07 12:23:50,561] 	 Solver usado = solve_ivp
[INFO] [2024-11-07 12:23:50,561] 	 Las condiciones iniciales usadas son:
[INFO] [2024-11-07 12:23:50,561] 	 [0.0, 0.9427930232199632, 0.5672619817519023]
[INFO] [2024-11-07 12:23:50,561] 	 [0.0, 0.06613406822223533, 0.8859564886467354]
[INFO] [2024-11-07 12:23:50,561] 	 [0.0, 0.07764073034707442, 0.6999659371659271]
[INFO] [2024-11-07 12:23:50,561] 	 [0.0, 0.5615797615001265, 0.3739278158972503]
[INFO] [2024-11-07 12:23:50,561] 	 [0.0, 0.6876950710842701, 0.2480574371525346]
[INFO] [2024-11-07 12:23:50,561] 	 [0.0, 0.33710889202669536, 0.8903703594996503]
[INFO] [2024-11-07 12:23:50,562] 	 [0.0, 0.6122171692803426, 0.3823405839377787]
[INFO] [2024-11-07 12:23:50,562] 	 [0.0, 0.5238770056345592, 0.25037225365594007]
[INFO] [2024-11-07 12:23:50,562] 	 [0.0, 0.19161372540319133, 0.06392925728932963]
[INFO] [2024-11-07 12:23:50,562] 	 [0.0, 0.8065012612695731, 0.10985655252702542]
[INFO] [2024-11-07 12:23:50,562] 	 [0.0, 0.18642427614011925, 0.8927087118288954]
[INFO] [2024-11-07 12:23:50,562] 	 [0.0, 0.8340654658291057, 0.9741775826878474]
[INFO] [2024-11-07 12:23:50,562] 	 [0.0, 0.8831920232465263, 0.7282765948389681]
[INFO] [2024-11-07 12:23:50,562] 	 [0.0, 0.4765008979379952, 0.7501262466507606]
[INFO] [2024-11-07 12:23:50,562] 	 [0.0, 0.9167300436315242, 0.8235726824614766]
[INFO] [2024-11-07 12:23:50,562] 	 [0.0, 0.02596320190570256, 0.25460835358428746]
[INFO] [2024-11-07 12:23:50,562] 	 [0.0, 0.1202605791184913, 0.6086814299497014]
[INFO] [2024-11-07 12:23:50,562] 	 [0.0, 0.1962953428499572, 0.46302708269984116]
[INFO] [2024-11-07 12:23:50,562] 	 [0.0, 0.8369049594440899, 0.6796199579042331]
[INFO] [2024-11-07 12:23:50,562] 	 [0.0, 0.8111528627012786, 0.744646176405484]
[INFO] [2024-11-07 12:23:50,562] 	 [0.0, 0.5222206017433862, 0.29402339270205313]
[INFO] [2024-11-07 12:23:50,562] 	 [0.0, 0.28033174748599254, 0.11460912010154045]
[INFO] [2024-11-07 12:23:50,562] 	 [0.0, 0.6356266179080914, 0.45825078714499534]
[INFO] [2024-11-07 12:23:50,562] 	 [0.0, 0.8344053849202157, 0.7378458272774808]
[INFO] [2024-11-07 12:23:50,562] 	 [0.0, 0.6986983179443286, 0.26639029585885377]
[INFO] [2024-11-07 12:23:50,562] 	 [0.0, 0.8781889958743372, 0.6226690343587484]
[INFO] [2024-11-07 12:23:50,562] 	 [0.0, 0.1835735698755233, 0.08126275362163349]
[INFO] [2024-11-07 12:23:50,562] 	 [0.0, 0.38443664461996374, 0.48049311082665014]
[INFO] [2024-11-07 12:23:50,562] 	 [0.0, 0.05709164297360758, 0.39961410134680975]
[INFO] [2024-11-07 12:23:50,562] 	 [0.0, 0.44591904738355936, 0.8998928000412691]
[INFO] [2024-11-07 12:23:50,562] 	 [0.0, 0.8966630381678744, 0.023680645248692955]
[INFO] [2024-11-07 12:23:50,562] 	 [0.0, 0.1247127576019682, 0.22515856765184028]
[INFO] [2024-11-07 12:23:50,562] 	 [0.0, 0.07417077457716037, 0.2107341613593594]
[INFO] [2024-11-07 12:23:50,562] 	 [0.0, 0.1921720769741906, 0.5914463709042245]
[INFO] [2024-11-07 12:23:50,562] 	 [0.0, 0.29404902999535276, 0.1500738101336453]
[INFO] [2024-11-07 12:23:50,562] 	 [0.0, 0.32390790255315005, 0.08987944266869441]
[INFO] [2024-11-07 12:23:50,562] 	 [0.0, 0.3793601871840778, 0.15541273911650033]
